Year,State,Attribute,Model Parameters,Prediction Years Out,Prediction,Confidence Interval,AIC,AICc,BIC,Actual,Error,Absolute Error
2018,AL,Total,"(0, 2, 1)",3,-167.10431736745522,[-167.1043907  -167.10424403],-44.71878043853839,-80.71878043853839,-52.8312698405254,866,-1033.1043173674552,1033.1043173674552
2019,AL,Total,"(0, 2, 1)",4,-375.62579305697,[-375.62590041 -375.62568571],-44.71878043853839,-80.71878043853839,-52.8312698405254,1007,-1382.62579305697,1382.62579305697
2016,AL,Total,"(0, 2, 2)",1,117.98187286558095,[117.98185327 117.98189247],-42.71878043853839,-79.38544710520506,-51.73265755185729,330,-212.01812713441905,212.01812713441905
2017,AL,Total,"(0, 2, 2)",2,-2.568428726604907,[-2.56847255 -2.5683849 ],-42.71878043853839,-79.38544710520506,-51.73265755185729,381,-383.5684287266049,383.5684287266049
2018,AL,Total,"(0, 2, 2)",3,-167.10431736745522,[-167.1043907  -167.10424403],-42.71878043853839,-79.38544710520506,-51.73265755185729,866,-1033.1043173674552,1033.1043173674552
2019,AL,Total,"(0, 2, 2)",4,-375.62579305697,[-375.62590041 -375.62568571],-42.71878043853839,-79.38544710520506,-51.73265755185729,1007,-1382.62579305697,1382.62579305697
2016,AL,Total,"(1, 1, 0)",1,196.4166611890323,[196.41664159 196.41668079],-25.34417896320584,-61.34417896320584,-30.867529713126828,330,-133.5833388109677,133.5833388109677
2017,AL,Total,"(1, 1, 0)",2,200.1289169936863,[200.12889571 200.12893828],-25.34417896320584,-61.34417896320584,-30.867529713126828,381,-180.8710830063137,180.8710830063137
2018,AL,Total,"(1, 1, 0)",3,195.69707168662717,[195.69704575 195.69709762],-25.34417896320584,-61.34417896320584,-30.867529713126828,866,-670.3029283133728,670.3029283133728
2019,AL,Total,"(1, 1, 0)",4,183.12112526785495,[183.12109707 183.12115346],-25.34417896320584,-61.34417896320584,-30.867529713126828,1007,-823.878874732145,823.878874732145
2016,AL,Total,"(1, 1, 1)",1,196.4166611890323,[196.41664159 196.41668079],-43.56392159059281,-80.23058825725948,-49.700977979393905,330,-133.5833388109677,133.5833388109677
2017,AL,Total,"(1, 1, 1)",2,200.1289169936863,[200.12888928 200.12894471],-43.56392159059281,-80.23058825725948,-49.700977979393905,381,-180.8710830063137,180.8710830063137
2018,AL,Total,"(1, 1, 1)",3,195.69707168662717,[195.69703774 195.69710563],-43.56392159059281,-80.23058825725948,-49.700977979393905,866,-670.3029283133728,670.3029283133728
2019,AL,Total,"(1, 1, 1)",4,183.12112526785495,[183.12108607 183.12116447],-43.56392159059281,-80.23058825725948,-49.700977979393905,1007,-823.878874732145,823.878874732145
2016,AL,Total,"(1, 1, 2)",1,196.4166611890323,[196.41664159 196.41668079],-41.56392159059281,-79.27820730487852,-48.31468361827402,330,-133.5833388109677,133.5833388109677
2017,AL,Total,"(1, 1, 2)",2,200.1289169936863,[200.12888928 200.12894471],-41.56392159059281,-79.27820730487852,-48.31468361827402,381,-180.8710830063137,180.8710830063137
2018,AL,Total,"(1, 1, 2)",3,195.69707168662717,[195.69703774 195.69710563],-41.56392159059281,-79.27820730487852,-48.31468361827402,866,-670.3029283133728,670.3029283133728
2019,AL,Total,"(1, 1, 2)",4,183.12112526785495,[183.12108607 183.12116447],-41.56392159059281,-79.27820730487852,-48.31468361827402,1007,-823.878874732145,823.878874732145
2016,AL,Total,"(1, 2, 0)",1,117.98187286555185,[117.9738297  117.98991603],-8.634847851368566,-44.63484785136856,-16.747337253355578,330,-212.01812713444815,212.01812713444815
2017,AL,Total,"(1, 2, 0)",2,-2.5684287266340107,[-2.58130407 -2.55555338],-8.634847851368566,-44.63484785136856,-16.747337253355578,381,-383.568428726634,383.568428726634
2018,AL,Total,"(1, 2, 0)",3,-167.10431736751343,[-167.12531666 -167.08331808],-8.634847851368566,-44.63484785136856,-16.747337253355578,866,-1033.1043173675134,1033.1043173675134
2019,AL,Total,"(1, 2, 0)",4,-375.6257930570282,[-375.6546076  -375.59697851],-8.634847851368566,-44.63484785136856,-16.747337253355578,1007,-1382.6257930570282,1382.6257930570282
2016,AL,Total,"(1, 2, 1)",1,117.98187286558095,[117.98185327 117.98189247],-42.71878043853839,-79.38544710520506,-51.73265755185729,330,-212.01812713441905,212.01812713441905
2017,AL,Total,"(1, 2, 1)",2,-2.568428726604907,[-2.56847255 -2.5683849 ],-42.71878043853839,-79.38544710520506,-51.73265755185729,381,-383.5684287266049,383.5684287266049
2018,AL,Total,"(1, 2, 1)",3,-167.10431736745522,[-167.1043907  -167.10424403],-42.71878043853839,-79.38544710520506,-51.73265755185729,866,-1033.1043173674552,1033.1043173674552
2019,AL,Total,"(1, 2, 1)",4,-375.62579305697,[-375.62590041 -375.62568571],-42.71878043853839,-79.38544710520506,-51.73265755185729,1007,-1382.62579305697,1382.62579305697
2016,AL,Total,"(1, 2, 2)",1,117.98187286558095,[117.98185327 117.98189247],-40.71878043853839,-78.4330661528241,-50.63404526318918,330,-212.01812713441905,212.01812713441905
2017,AL,Total,"(1, 2, 2)",2,-2.568428726604907,[-2.56847255 -2.5683849 ],-40.71878043853839,-78.4330661528241,-50.63404526318918,381,-383.5684287266049,383.5684287266049
